day,grade
2021-12-11,4.5
2021-12-11,4.5
2022-05-28,4.33
2022-05-28,4.5
2022-05-28,4.33
2022-05-28,4
2022-05-28,4
2022-05-28,5
2022-05-28,5
2022-05-28,4.77
